Name,Party,Chamber,,,,,,,,,,,,,
"Byrne, Bradley",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Roby, Martha",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Rogers, Mike",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Aderholt, Robert",R,House,,,,,,,,,,,,,
"Brooks, Mo",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Palmer, Gary",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Sewell, Terri A.",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Young, Don",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Radewagen, Amata",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"O'Halleran, Tom",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"McSally, Martha",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Grijalva, Raul",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Gosar, Paul A.",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Biggs, Andy",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Schweikert, David",R,House,,,,,,,,,,,,,
"Gallego, Ruben",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Franks, Trent",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Sinema, Kyrsten",D,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
"Crawford, Rick",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Hill, French",R,House,,,,,,,,,,,,,
"Womack, Steve",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
"Westerman, Bruce",R,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
,,House,,,,,,,,,,,,,
Name,Party,House,,,,,,,,,,,,,
