lastName,firstName,S-H,D-R,twitterHandle,state,district,notes
Young,Don,0,0,RepDonYoung,AK,0,
Murkowski,Lisa,1,0,LisaMurkowski,AK,,
Sullivan,Dan,1,0,SenDanSullivan,AK,,
Byrne,Bradley,0,0,RepByrne,AL,1,
Roby,Martha,0,0,RepMarthaRoby,AL,2,
Rogers,Mike,0,0,RepMikeRogersAL,AL,3,
Aderholt,Robert,0,0,Robert_Aderholt,AL,4,
Brooks,Mo,0,0,RepMoBrooks,AL,5,
Palmer,Gary,0,0,USRepGaryPalmer,AL,6,
Sewell,Terri,0,1,RepTerriSewell,AL,7,
Shelby,Richard,1,0,SenShelby,AL,,
Strange,Luther,1,0,SenatorStrange,AL,,
Crawford,Eric,0,0,RepRickCrawford,AR,1,
Hill,French,0,0,RepFrenchHill,AR,2,
Womack,Steve,0,0,Rep_SteveWomack,AR,3,
Westerman,Bruce,0,0,RepWesterman,AR,4,
Boozman,John,1,0,JohnBoozman,AR,,
Cotton,Tom,1,0,SenTomCotton,AR,,
Amata,Aumua,0,0,RepAmata,AS,0,NO VOTE
O’Halleran,Tom,0,1,repohalleran,AZ,1,
McSally,Martha,0,0,RepMcSally,AZ,2,
Grijalva,Raúl,0,1,RepraulGrijalva,AZ,3,
Gosar,Paul,0,0,RepGosar,AZ,4,
Biggs,Andy,0,0,RepAndyBiggsAZ,AZ,5,
Schweikert,David,0,0,RepDavid,AZ,6,
Gallego,Ruben,0,1,RepRubenGallego,AZ,7,
Franks,Trent,0,0,RepTrentFranks,AZ,8,
Sinema,Kyrsten,0,1,RepSinema,AZ,9,
Flake,Jeff,1,0,JeffFlake,AZ,,
McCain,John,1,0,SenJohnMcCain,AZ,,
LaMalfa,Doug,0,0,RepLaMalfa,CA,1,
Huffman,Jared,0,1,RepHuffman,CA,2,
Garamendi,John,0,1,RepGaramendi,CA,3,
McClintock,Tom,0,0,RepMcClintock,CA,4,
Thompson,Mike,0,1,RepThompson,CA,5,
Matsui,Doris,0,1,DorisMatsui,CA,6,
Bera,Ami,0,1,RepBera,CA,7,
Cook,Paul,0,0,RepPaulCook,CA,8,
McNerney,Jerry,0,1,RepMcNerney,CA,9,
Denham,Jeff,0,0,RepJeffDenham,CA,10,
DeSaulnier,Mark,0,1,RepDeSaulnier,CA,11,
Pelosi,Nancy,0,1,NancyPelosi,CA,12,
Lee,Barbara,0,1,RepBarbaraLee,CA,13,
Speier,Jackie,0,1,RepSpeier,CA,14,
Swalwell,Eric,0,1,RepSwalwell,CA,15,
Costa,Jim,0,1,RepJimCosta,CA,16,
Khanna,Ro,0,1,RepRoKhanna,CA,17,
Eshoo,Anna,0,1,RepAnnaEshoo,CA,18,
Lofgren,Zoe,0,1,RepZoeLofgren,CA,19,
Panetta,Jimmy,0,1,RepJimmyPanetta,CA,20,
Valadao,David,0,0,RepDavidValadao,CA,21,
Nunes,Devin,0,0,RepDevinNunes,CA,22,
McCarthy,Kevin,0,0,GOPLeader,CA,23,
Carbajal,Salud,0,1,RepCarbajal,CA,24,
Knight,Steve,0,0,SteveKnight25,CA,25,
Brownley,Julia,0,1,JuliaBrownley26,CA,26,
Chu,Judy,0,1,RepJudyChu,CA,27,
Schiff,Adam,0,1,RepAdamSchiff,CA,28,
Cárdenas,Tony,0,1,RepCardenas,CA,29,
Sherman,Brad,0,1,BradSherman,CA,30,
Aguilar,Pete,0,1,reppeteaguilar,CA,31,
